|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[3]  |
|       0  |       1  |       2  |       3  |
|       0  |      -1  |      -2  |      -3  |
|     888  |     888  |       0  |       0  |
|     789  |       0  |     789  |       0  |
|   -4009  |       0  |       0  |    4009  |
|       0  |       0  |    9876  |    9876  |
|       0  |    3976  |       0  |    3976  |
|       0  |      12  |      12  |      24  |
|       0  |     -12  |     -12  |     -24  |
|   10700  |     700  |   10000  |       0  |
