|  RAM[0]  |  RAM[1]  |  RAM[2]  | RAM[666]  | RAM[667]  | RAM[668]  | RAM[669]  | RAM[670]  | RAM[671]  | RAM[672]  | RAM[673]  | RAM[674]  | RAM[675]  | RAM[676]  | RAM[677]  |
|       1  |     666  |      12  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |        2  |
|       1  |     666  |      12  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        2  |        1  |
|       0  |     666  |      12  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |        0  |
