|  RAM[0]  |  RAM[1]  |  RAM[2]  | RAM[12]  | RAM[13]  | RAM[14]  | RAM[15]  |
|       1  |      12  |       4  |       1  |       2  |       3  |       4  |
|       2  |      12  |       4  |       2  |       2  |       2  |       2  |
|      -4  |      12  |       4  |      -1  |      -2  |      -3  |      -4  |
|       0  |      12  |       4  |       0  |       1  |       2  |       3  |
|      -3  |      12  |       4  |       0  |      -1  |      -2  |      -3  |
|      -2  |      12  |       4  |      -1  |      -2  |       1  |       2  |
|      21  |      12  |       4  |     432  |     555  |     344  |      21  |
|   -3124  |      12  |       4  |    -213  |     333  |    2111  |   -3124  |
|    -321  |      12  |       4  |       0  |    -321  |       0  |    1233  |
|       0  |      12  |       4  |       0  |       0  |       0  |       0  |
