|  RAM[0]  |  RAM[1]  |  RAM[2]  | RAM[78]  | RAM[79]  | RAM[80]  | RAM[81]  | RAM[82]  | RAM[83]  | RAM[84]  | RAM[85]  | RAM[86]  | RAM[87]  |
|       1  |      78  |      10  |       1  |       2  |       3  |       4  |       5  |       6  |       7  |       8  |       9  |      10  |
|      -8  |      78  |      10  |      -1  |      -1  |      -2  |      -3  |      -5  |      -8  |      13  |      12  |      12  |      13  |
|  -13455  |      78  |      10  |     413  |   13134  |     466  |  -13455  |       4  |     -12  |      23  |       1  |       1  |       0  |
|       0  |      78  |      10  |       0  |       0  |       0  |       0  |       0  |       0  |       0  |       0  |       0  |       0  |
|     -55  |      78  |      10  |      -3  |     -55  |      -6  |     -12  |     -32  |      11  |      -3  |      66  |     666  |     666  |
|     -10  |      78  |      10  |      -1  |      -2  |      -3  |      -4  |      -5  |      -6  |      -7  |      -8  |      -9  |     -10  |
|    -653  |      78  |      10  |    4421  |       5  |      78  |     566  |    -653  |       0  |    -653  |       5  |      11  |      33  |
|     234  |      78  |      10  |     234  |     444  |     234  |     234  |     234  |     234  |     234  |     234  |     234  |     234  |
|       0  |      78  |      10  |       3  |       6  |       7  |       3  |       4  |       3  |      21  |       6  |       0  |       3  |
|    9999  |      78  |      10  |    9999  |    9999  |    9999  |    9999  |    9999  |    9999  |    9999  |    9999  |    9999  |    9999  |
