|  RAM[0]  |  RAM[1]  |  RAM[2]  | RAM[72]  | RAM[73]  | RAM[74]  | RAM[75]  |
|      -1  |      72  |       4  |       1  |       2  |       3  |       4  |
|      -1  |      72  |       4  |       6  |      46  |    1433  |    6322  |
|      -1  |      72  |       4  |    -666  |     -13  |      -9  |      -4  |
|      -1  |      72  |       4  |       0  |       8  |       9  |      34  |
|      -1  |      72  |       4  |       2  |       2  |       2  |       2  |
|      -1  |      72  |       4  |       1  |       2  |       2  |       2  |
|      -1  |      72  |       4  |      -2  |       0  |       0  |       9  |
|      -1  |      72  |       4  |      -6  |       8  |      35  |      53  |
|      -1  |      72  |       4  |   -1345  |    1354  |    3567  |    7563  |
|      -1  |      72  |       4  |    1435  |    2225  |    6523  |    7393  |
