|  RAM[0]  |  RAM[1]  |  RAM[2]  | RAM[666] | RAM[667] | RAM[668] | RAM[669] | RAM[676] | RAM[677] | RAM[678] | RAM[679] | RAM[680] | RAM[681] | RAM[682] | RAM[683] | RAM[684] | RAM[685] |
|      -1  |     666  |      20  |       1  |       2  |       3  |       4  |      11  |      12  |      13  |      14  |      15  |      16  |      17  |      18  |      19  |      20  |
|      -1  |     666  |      20  |       1  |       2  |       3  |       4  |      11  |      12  |      13  |      14  |      15  |      16  |      17  |      18  |      19  |      20  |
|      -1  |     666  |      20  |     -20  |     -19  |     -18  |     -17  |     -10  |      -9  |      -8  |      -7  |      -6  |      -5  |      -4  |      -3  |      -2  |      -1  |
|      -1  |     666  |      20  |     -12  |      -9  |      -9  |      -9  |       0  |       2  |       2  |       2  |       2  |       2  |       5  |       5  |       5  |       5  |
|      -1  |     666  |      20  |     -10  |      -9  |      -8  |      -7  |       1  |       2  |       3  |       4  |       5  |       6  |       7  |       8  |       9  |      10  |
|      -1  |     666  |      20  |  -10000  |   -9000  |   -8000  |   -7000  |    1000  |    2000  |    3000  |    4000  |    5000  |    6000  |    7000  |    8000  |    9000  |   10000  |
|      -1  |     666  |      20  |    -415  |    -346  |    -314  |     -55  |       5  |      57  |      66  |     111  |     143  |     455  |     555  |    5555  |   10000  |   13256  |
|      -1  |     666  |      20  |  -10034  |   -4133  |   -1234  |    -900  |      31  |      31  |      43  |      85  |      90  |     145  |     456  |    3145  |    4333  |    4555  |
|      -1  |     666  |      20  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |  -10000  |
|      -1  |     666  |      20  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |   10000  |
